key,name,city,street,zip,category,lat,lng,chat_radius_km,boundary_clearance_m,pin_shift_m,source_url,building_source_url,website
osm-node-4434343205,M-One,Celle,Großer Plan 11,29221,14,52.622447869199995,10.081080661849999,0.0024,5.791623227930218,3.562509511289704,https://www.openstreetmap.org/node/4434343205,https://www.openstreetmap.org/way/127047658,http://www.m-one.cc/
osm-node-10924035657,Walpurgishof,Goslar,Am Bocksberg 1,38644,14,51.8578196,10.3406041,0.0022,5.510679250660578,0.0,https://www.openstreetmap.org/node/10924035657,https://www.openstreetmap.org/way/277180082,https://www.walpurgishof.de/
osm-node-679446834,Eiscafé Venezia,Helmstedt,Neumärker Straße 10,38350,5,52.2278140287,11.0073205781,0.0029,6.213418490863671,5.031349221257996,https://www.openstreetmap.org/node/679446834,https://www.openstreetmap.org/way/142882554,
osm-node-232513086,Restaurant TC Grün-Weiß-Gifhorn,Gifhorn,Knickwall 6b,38518,14,52.4861255,10.5412333,0.0053,8.633650797383149,0.0,https://www.openstreetmap.org/node/232513086,https://www.openstreetmap.org/way/137651833,
osm-node-2394376806,Il mulino - Herrenmühle,Königslutter am Elm,Lutterstraße 12,38154,14,52.24906220925,10.81908890185,0.0036,6.941960003170711,4.1306996811486645,https://www.openstreetmap.org/node/2394376806,https://www.openstreetmap.org/way/241765737,https://www.herrenmuehle-ilmulino.de/
osm-node-12272570974,Schönes & Café am Markt,Lehrte,Marktstraße 13,31275,5,52.373011088400006,9.9791272049,0.0031,6.479583327749548,5.593333176360048,https://www.openstreetmap.org/node/12272570974,https://www.openstreetmap.org/way/252276858,
osm-node-9046048393,Jimmy’s Steakhouse,Braunschweig,Mittelweg 91,38106,14,52.2767312,10.5260936,0.0029,6.221133194446478,0.0,https://www.openstreetmap.org/node/9046048393,https://www.openstreetmap.org/way/47456784,https://www.instagram.com/steakhousejimmys
osm-node-5739484724,Pizzeria Napoli,Wolfsburg,Brandgehaege 9,38444,14,52.370346,10.7257187,0.0048,8.149459084551847,0.0,https://www.openstreetmap.org/node/5739484724,https://www.openstreetmap.org/way/148204379,
osm-node-11148531460,Rausch Schokoland,Peine,Wilhelm-Rausch-Straße 12,31228,5,52.3399361,10.2472571,0.0033,6.616412910003674,0.0,https://www.openstreetmap.org/node/11148531460,https://www.openstreetmap.org/way/1202577648,
osm-node-253238389,Das Ding,Hannover,Wöhlerstraße 34,30163,14,52.3971196,9.7494075,0.003,6.339085301470326,0.0,https://www.openstreetmap.org/node/253238389,https://www.openstreetmap.org/way/188746504,https://www.dasding-restaurant.de
osm-node-677909318,Mobbi Dick,Hildesheim,Kurzer Hagen 4,31134,14,52.15299895,9.949364200000002,0.0023,5.698667677566074,3.417641193593173,https://www.openstreetmap.org/node/677909318,https://www.openstreetmap.org/way/93469814,http://www.mobbidick.de/
osm-node-129969302,Landgasthaus Engelnstedt,Salzgitter,Vallstedter Straße 13,38229,14,52.1694493,10.3543165,0.0055,8.835080831329677,0.0,https://www.openstreetmap.org/node/129969302,https://www.openstreetmap.org/way/125083856,
osm-node-304565041,Pizzeria Ristorante Cristallo,Wolfenbüttel,Goslarsche Straße 14,38304,14,52.1624511,10.5230713,0.0044,7.702668350983943,0.0,https://www.openstreetmap.org/node/304565041,https://www.openstreetmap.org/way/28836881,
osm-node-2529311343,Weinkeller Postmeister von Hinüber,Celle,Zöllnerstraße 25,29221,14,52.624502337500005,10.085036529,0.0022,5.522390533222798,4.036758038456316,https://www.openstreetmap.org/node/2529311343,https://www.openstreetmap.org/way/126508652,https://weinkeller-celle.de/
osm-node-1700805111,Down Under,Goslar,Carl-Zeiß-Straße 1,38644,14,51.9330401,10.407959,0.0046,7.94349770043604,0.0,https://www.openstreetmap.org/node/1700805111,https://www.openstreetmap.org/way/74182519,
osm-node-619072737,Hallenbad Restaurant,Helmstedt,Stobenstraße 35,38350,14,52.2290454146,11.0066188995,0.0028,6.10969375248885,4.00453956001859,https://www.openstreetmap.org/node/619072737,https://www.openstreetmap.org/way/27011594,
osm-node-8335030486,Ocakbasi Grill,Gifhorn,Braunschweiger Straße 137e,38518,14,52.465041946,10.542646221,0.0023,5.627276567178105,8.229336328018267,https://www.openstreetmap.org/node/8335030486,https://www.openstreetmap.org/way/210108440,https://ocakbasi-gifhorn.de
osm-node-3655755232,Kammerlichtspiele Königslutter,Königslutter am Elm,Braunschweiger Straße 36,38154,12,52.2528798024,10.8123132039,0.0056,8.92392623432869,6.436401555696773,https://www.openstreetmap.org/node/3655755232,https://www.openstreetmap.org/way/370613353,https://www.kammerlichtspiele-koenigslutter.de/
osm-node-448138789,Taverne i spilia,Lehrte,Barnstorfplatz 3,31275,14,52.365056760799995,9.9114811514,0.0023,5.656002286520085,3.7557582809777443,https://www.openstreetmap.org/node/448138789,https://www.openstreetmap.org/way/240546045,
osm-node-345828654,Shanta's Kitchen,Braunschweig,Schöppenstedter Straße 32,38100,14,52.2679331,10.5287403,0.0021000000000000003,5.499671544406872,0.0,https://www.openstreetmap.org/node/345828654,https://www.openstreetmap.org/way/89453274,https://shanta-braunschweig.de
osm-node-344277447,Schützenhaus Vorsfelde,Wolfsburg,Meinstraße 86,38448,14,52.4451695,10.8445695,0.010199999999999999,13.59429342443815,0.0,https://www.openstreetmap.org/node/344277447,https://www.openstreetmap.org/way/31128763,
osm-node-13585059416,Taormina,Peine,Marktstraße 7,31224,14,52.324304597499996,10.2270099696,0.0044,7.784799584516983,5.294727626432363,https://www.openstreetmap.org/node/13585059416,https://www.openstreetmap.org/way/478979770,https://taormina-peine.de/
osm-node-998020244,Fasanenkrug,Hannover,Burgwedeler Straße 30,30657,14,52.4318337,9.8007098,0.0028,6.166087444509785,0.0,https://www.openstreetmap.org/node/998020244,https://www.openstreetmap.org/way/188339748,https://www.restaurant-fasanenkrug.de/
osm-node-3920678657,Pans Kitchen,Hildesheim,Scheelenstraße 1,31134,14,52.15219162145,9.9535117908,0.0021000000000000003,5.409442497537267,6.548727838390784,https://www.openstreetmap.org/node/3920678657,https://www.openstreetmap.org/way/201333135,https://panskitchen-hildesheim.com/
osm-node-450164445,Plaka II,Salzgitter,Westfalenstraße 42,38226,14,52.1640975,10.3126988,0.0028,6.192306174356354,0.0,https://www.openstreetmap.org/node/450164445,https://www.openstreetmap.org/way/203540162,
osm-node-3460383617,Basilico,Wolfenbüttel,Am Buschkopf 52,38300,14,52.1460737491,10.56520216745,0.0045,7.811651513024819,5.378808331369188,https://www.openstreetmap.org/node/3460383617,https://www.openstreetmap.org/way/97413735,https://hotel-gaestehaus-linden.de/restaurant/
osm-node-3920395030,Allertal-Café,Celle,Fuhrberger Straße 217,29225,5,52.6074111029,10.0285944141,0.0036,6.949629498915194,5.801379122728455,https://www.openstreetmap.org/node/3920395030,https://www.openstreetmap.org/way/158532776,
osm-node-11218186437,Veranda,Goslar,Im Schleeke 2,38640,14,51.9150167,10.4512271,0.0040999999999999995,7.4906195866639536,0.0,https://www.openstreetmap.org/node/11218186437,https://www.openstreetmap.org/way/74188951,
